id,title,category
201,اجتماع گروهی از بازاریان تهران در خانه رضاخان، وزیر جنگ و تشکر از اقدامات وی در برقراری امنیت,"Politics, Social"
202,"انعقاد قرارداد میان خوانین کشکولی با مسئولین کمپانی نفت جنوب بدون اطلاع دولت، برای اکتشاف و برداشت نفت به این شکل که ابتدا کمپانی بیش از ده هزار تومان به ایشان پرداخت کرده و سپس صدی سه از عایدات به ایشان بپردازد.","Economy, Politics"
203,تحصن ۶۰ تا ۷۰ نفره‌ی اهالی مطبوعات وگران در مجلس در اعتراض به خودکامگی رضاخان وزیر جنگ و درخواست برای برکناری وی,"Politics, Social"
204,قراسوران‌های استرآباد به دلیل عدم دریافت حقوق در تلگراف‌خانه‌ی این شهر تحصن کردند.,"Economy, Crime/Safety"
205,اعلام ممنوعیت خروج طلا و نقره توسط وزارت مالیه,"Economy, Politics"
206,حسابرسی از تجارت‌خانه طومانیانس,"Economy"
207,جلب میرزااسماعیل خان وصالی به دلیل فروش بخشی از اراضی خالصهٔ بندرعباس به اتباع خارجه,"Politics, Crime/Safety, Economy"
208,سر پرسی لورن وزیر مختار انگلیس با مشیرالدوله رئیس‌الوزرادار کرد. خبری از جزئیات مذاکران ایشان به بیرون درز نکرد.,"Politics"
209,روزنامه اقدام از اختلاس ۱۹۳ هزار تومانی احمد قوام‌السلطنه که دوبوای بلژیکی، پیشکار مالیه خراسان آن را برملا کرده بود خبر داد.,"Politics, Crime/Safety, Economy"
210,"محمود انصاری حاکم نظامی تهران در آستانه ماه رمضان قیمت چند کالا را اعلام کرد و تهدید کرد کسی حق ندارد گران‌تر بفروشد: «قیمت گوشت از غره شهر مبارک رمضان چارکی دو قران؛ قیمت شیر روی نگرفته بدون آب چارکی ده شاهی؛ قیمت ماست قالبی در صورت خریداری از ماست‌بند یک من یک قران و ششصدنار و از بقال یک من دو قران و چارکی ده شاهی؛ ماست کوزه‌ای نیز چارکی سیصدنار»","Economy, Social"
211,پس از نامه‌نگاری‌های فراوان از سوی سران نظامی و حکومتی غرب ایران، هیئت دولت با اختصاص هزار تومان بابت خلعت و انعام به رؤسای الوار و پانصد تومان برای تعمیر برج‌های شهر به منظور مقابله با اشرار لر موافقت کرد.,"Politics, Crime/Safety, Economy"
212,درگیری مسلمان‌ها و بهایی‌ها در سمنان,"Social, Crime/Safety"
213,اعزام بقاءالدوله به انزلی برای بازپس‌گیری مؤسسات دولتی,"Politics"
214,شروع آمارگیری در تهران,"Social, Politics"
215,کشته شدن افتخارالتجار به دست عوامل سیمیتقو در سقز,"Crime/Safety, Politics"
216,"برقراری حکومت نظامی در شهرهای تهران، استرآباد، خمسه، قزوین، سمنان، دامغان، بارفروش، تنکابن، فیروزکوه، سوادکوه، لاهیجان، ساوجبلاغ، شهریار، ورامین، کن و سولقان، ساوه و بندر پهلوی به فرمان سردار سپه","Politics, Crime/Safety"
217,حمله گروهی از طوایف لر به شهر نهاوند,"Crime/Safety, Politics"
218,استعفای مشیرالدوله از مقام ریاست وزرا,"Politics"
219,رضاخان (وزیر جنگ) به همهٔ معاونان وزراتخانه‌ها دستور داد که به وزارتخانه‌های خود رفته و مثل گذشته به امور رسیدگی کنند. خود نیز به دربار رفت و در عمل همان نقش مشیرالدوله را بر عهده گرفت.,"Politics"
220,دار مشیرالدوله با کمیسیون ۱۲ نفری (شامل افرادی از دولت و مجلس) برای ذکر دلایل استعفا,"Politics"
221,در پی رسیدن اخباری مبنی بر این که کنسول انگلیس در بوشهر مستقیماً اقدام به انعقاد قراردادهای نفتی با خوانین کشکولی نموده وزارت داخله به وزارت خارجه نوشت که از ایالت فارس و حکومت بنادر خواسته که مراقب باشند هیچ قراردادی بین آنها منعقد نشود.,"Politics, Economy"
222,رأی مجلس شورای ملی به ابقای مشیرالدوله و ارسال این خبر به احمدشاه قاجار که در فرانسه به سر می‌برد.,"Politics"
223,اعزام ۲۰۰۰ نیروی دولتی ایرانی به قصد عملیات علیه اسماعیل آقا سیمیتقو در منطقهٔ شمال غرب دریاچه ارومیه,"Politics, Crime/Safety"
224,انعقاد قرارداد میان شرکت نفت انگلیس و ایران و محمدناصرخان قشقایی,"Economy, Politics"
225,۱۲ خرداد: وینستون چرچیل که در این زمان وزیر امور مستعمارت بریتانیا بود، سندی منتشر کرد که آن را با عنوان British Policy in Palestine می‌شناسند. او در این سند از اعلامیه بالفور حمایت کرد.,"Politics"
226,تعطیلی محاکم عدلیه به دلیل اعتصاب کارکنانی که ۹ ماه حقوق دریافت نکرده بودند.,"Social, Economy, Politics"
227,مشیرالدوله که با اصرار نمایندگان و درخواست شاه قبول کرده بود بارگر دولت تشکیل بدهد به دلیل دخالت‌ها در تحمیل وزرا، بارگر از قبول مسئولیت سر باز زد.,"Politics"
228,اعتراض دولت ایران به دولت روسیه شوروی به‌دلیل واگذار نکردن روستای فیروزه به ایران.,"Politics"
229,"وزارت خارجه ایران از نمایندگی خود در انگلیس خواست که دلیل حضور ۶۰۰ نظامی انگلیسی در بوشهر را از مقامات آن کشور جویا شود. پاسخ آن بود که «بهانهٔ نگاهداری قشون در جنوب، عدم اطمینان (انگلیس) از ابقا امنیت است.»","Politics, Crime/Safety"
230,تشکیل جلسه‌ای خصوصی در مجلس شورای ملی و تصمیم به ارسال تلگرام برای احمدشاه مبنی بر استعفای دوم مشیرالدوله و تقاضای «رفع بحران» از وی,"Politics"
231,دستور رضاخان، وزیر جنگ به وزارت خارجه مبنی بر اعتراض به سفارت انگلیس به‌دلیل ملاقات نمایندگان دو کشورِ تحت سلطهٔ انگلیس (عراق و هند) در محمره (خرمشهر),"Politics"
232,ورود قشون دولتی به کازرون برای مبارزه با اشرار و راهزنان,"Politics, Crime/Safety"
233,تصویب قانون اعزام شصت نفر دانشجوی نظامی به پاریس در مجلس شورای ملی,"Social, Politics"
234,در پی برکناری مشیرالدوله از مقام ریاست وزرایی، قوام‌السلطنه مأمور تشکیل کابینه شد. فهرست وزرا: رضاخان سردار سپه وزیر جنگ، فهیم‌الملک وزیر مالیه، مشارالسلطنه وزیر عدلیه، حاج محتشم‌السلطنه وزیر معارف و اوقاف، وحیدالملک شیبانی وزیر پست و تلگراف، عمیدالسلطنه وزیر تجارت و فوائد عامه، منصورالملک کفیل وزارت خارجه و سرپرستی وزار امور خارجه را رئیس‌الوزرا به عهده گرفت.,"Politics"
235,چاپ نخستین شماره از روزنامه خنده با مدیریت غلامعلی‌خان,"Social"
236,نماینده سیاسی ایران در فرانسه به وزارت خارجه خبر داد که احمدشاه طی گفتگو با رئیس‌جمهور فرانسه در خصوص تأسیس تلگراف بی‌سیم در ایران توافقاتی کرده است.,"Technology/Science, Politics"
237,تصویب قانون اصلاح قرارداد پستی بین‌المللی مادرید در مجلس شورای ملی,"Politics, Social"
238,دست‌اندازی طایفهٔ زلقی‌ها به اطراف جوشقان و غارت گوسفندان و الاغ‌های مردم,"Crime/Safety"
239,به لشکر جنوب دستور داده شد برای تأمین امنیت کهگیلویه و بهبهان نیرو فرستاده شود.,"Politics, Crime/Safety"
240,کارگزار وزارت خارجه در خرمشهر گزارش داد که هزینه لوازم بیمارستانی که در این شهر ساخته شده توسط رئیس کمپانی نفت ایران و انگلیس برای سردار اقدس (شیخ خزعل) تأمین شده است.,"Health, Politics"
241,کارگران نفت جنوب اعتصاب کردند و خواستار اخراج کارگران هندی شدند. شیخ خزعل برای رفع مشکل خود را به مسجد سلیمان رساند.,"Social, Economy"
242,فتح تنگه و قلعه چگنی‌کش از دست طوایف لر به دست اردوی دولتی,"Politics, Crime/Safety"
243,کشف معدن سرب در کوه بی‌بی شهربانو توسط گردان مهندسین نظام,"Economy, Technology/Science"
244,دار قوام‌السلطنه، رئیس‌الوزرا با وزیر مختار دولت آمریکا در ایران و گفتگو پیرامون امتیاز نفت شمال,"Politics, Economy"
245,دستگیری نظامیان و غیرنظامیان همدست با لاهوتی جهت محاکمه آنها,"Politics, Crime/Safety"
246,آغاز جنگ میان طوایف قراجه‌داغ,"Crime/Safety"
247,مخالفت مردم گیلان با صدور برنج به روسیه,"Economy, Social"
248,حسین علاء وزیر مختار ایران در آمریکا در تلگراف‌هایی به قوام‌السلطنه از موافقت قطعی شرکت استاندارد اویل با شرایط ایران در خصوص نفت شمال خبر داد.,"Economy, Politics"
249,شاهسون‌ها به اطراف شهر میانه تجاوز کرده و گله و رمه مردم را به یغما بردند.,"Crime/Safety"
250,در خراسان روزنامه‌های «مهر منیر» و «خراسان» توقیف شدند. مدیر روزنامه خراسان به کلات تبعید شد.,"Politics, Social"
251,قوام‌السلطنه در تلگرامی به عباس میرزا سالار لشکر از احتمال دخالت انگلیس‌ها در شورش طوایف لر خبر داد.,"Politics"
252,"در مراسمی که در خانه رضاخان وزیر جنگ برگزار شد، خلعت و شمشیر از ناحیهٔ مقام حضرت ابوالفضل به او هدیه گردید.","Politics, Social"
253,سرتیپ امان‌الله میرزا به فرماندهی کل قوایبایجان منصوب شد.,"Politics"
254,دستگیری رضا نجار، یکی از شورشیان خراسان به همراه مقداری بمب و اخراج هارانوف، همکار روسش از ایران,"Crime/Safety, Politics"
255,اعزام امیرلشکر غرب به نام احمد آقاخان برای سرکوب لرهای سیلاخوری، بیرانوند و سکوند که منجر به شکست شورشی‌ها و تسخیر قلعه کیوزه شد.,"Politics, Crime/Safety"
256,مأمور وزارت خارجه در مناطق ساحلی خلیج فارس خبر داد که مأموران کنسولگری‌های انگلیس مایلند اتباع جزیره بحرین را از ایران جدا بدانند.,"Politics"
257,۱ مرداد: جامعهٔ ملل، قیمومت بریتانیا بر فلسطین را به رسمیت شناخت.,"Politics"
258,۳۰ مرداد: پنجمین کنگره عربی در نابلس تشکیل شد.,"Politics, Social"
259,تصویب قانون استخدام و حدود اختیارات دکتر میلسپو رئیس کل مالیه ایران,"Economy, Politics"
260,اعزام نیرو برای سرکوب طایفه چهار راهی و غیره در منطقه فارس,"Politics, Crime/Safety"
261,آغاز نبرد شکریازی,"Politics, Crime/Safety"
262,پایان نبرد شکریازی,"Politics, Crime/Safety"
263,نیروهای نظامی قلعهٔ چهریق که پناهگاه اسماعیل سیمیتقو بود را تسخیر کردند و به تعقیب فراریان پرداختند.,"Politics, Crime/Safety"
264,ارسال تلگرام توسط احمدشاه به سردار سپه برای قدردانی از کوشش‌های وی در سرکوب غائلهٔ چهریق و سلماس,"Politics"
265,اعزام یک ستون نظامی به دشتک برای سرکوب متمردان,"Politics, Crime/Safety"
266,قانون استخدام هشت نفر متخصص مالیه از آمریکا به تصویب مجلس شورای ملی رسید.,"Economy, Politics"
267,اعزام یک گردان از لشکر جنوب به دالکی و اعزام یک گردانگر به بنادر خلیج فارس برای برقرار امنیت,"Politics, Crime/Safety"
268,قلعه‌بیگی‌ها (دژبان‌ها) موظف شدند بر رفتار نظامی‌ها در شهرها نظارت داشته باشند.,"Politics, Crime/Safety"
269,وزارت معارف اعلام کرد شمار محصلین مدارس عالی ایران در سال تحصیلی گذشته و امسال ۹۱ نفر بوده است.,"Social"
270,تأسیس مدرسه فلاحت,"Social, Technology/Science"
271,۱۲ آبان: تأسیس کیبوتص بیت آلفا توسط داوطلبانی از جنبش صهیونیستی هاشومیر حتصیر,"Social, Politics"
272,تصویب لایحه نظارت بر مطبوعات در مجلس شورای ملی,"Politics, Social"
273,۱۳ آذر: تأسیس آژانس یهود,"Social, Politics"
274,بازگشت احمد شاه قاجار از دومین سفر فرنگ از طریق بوشهر و استقبال به وسیله رضاخان سردار سپه و خوانین و بزرگان جنوب کشور از جمله صولت‌الدوله قشقایی، حاج ایازخان قشقایی، زائر خضرخان امیراسلام تنگستانی، شیخ محمدخان چاه‌کوتاهی، غضنفرالسلطنه برازجانی و غیره,"Politics, Social"
275,امضای موافقتنامه موقت میان ایران و عراق برای استرداد مجرمین در بغداد,"Politics, Crime/Safety"
276,تصویب قانون استخدام اعضای دولت,"Politics, Economy"
277,۱۹ دی: با کشف ذخایر نفت در سلطان‌نشین عمان که در آن زمان تحت‌الحمایهٔ امپراتوری بریتانیا بود، سلطان سعید بن تیمور در این روز مجبور به امضای قراردادی با بریتانیا شد تا طبق آن پیش از امضای هر گونه قرارداد با شرکت‌های نفتی به منظور اعطای حق حفاری، از کمیسر عالی بریتانیا در هند مجوز دریافت کند.,"Economy, Politics"
278,۱۹ دی: یکی شدن واحد پول سه جمهوری تشکیل‌دهندهٔ جمهوری فدراتیو سوسیالیستی قفقاز جنوبی شوروی. به دارندگان روبل‌های ارمنی، آذری و گرجی دو ماه فرصت داده شد تا پول خود را با روبل قفقاز تعویض کنند. بعدها این فرصت تا ۲۱ فروردین ۱۳۰۳ تمدید شد تا همه بتوانند پول خود را با روبل شوروی تعویض کنند.,"Economy, Politics"
279,۹ بهمن: با شکست نیروهای یونانی از ترکیه در جنگ آسیای صغیر، کنوانسیون مبادله جمعیت یونان و ترک در لوزان سوئیس امضا شد که موجب جابجایی اجباری بیش از ۱٫۶ میلیون نفر گردید. این توافقنامه که اجرای آن از یازدهم فروردین ۱۳۰۲ آغاز شد منجر به خروج ۱٬۲۲۱٬۴۸۹ مسیحی ارتدوکس یونانی متولد ترکیه از بخش‌های یونانی سابق غرب ترکیه و ۴۰۰٬۰۰۰ مسلمان متولد یونان شد. بر اساس شرایط این معاهده، ساکنان یونانی استانبول (قسطنطنیه سابق) و ترک‌های مسلمان در سمت یونانی منطقه تقسیم شده تراکیه، از این جابجایی معاف شدند.,"Social, Politics"
280,آغاز نخست‌وزیری حسن مستوفی‌الممالک در دوران حکومت احمدشاه,"Politics"
