id,title,category
2201,توقیف ۱۵ دی کشتی نفت‌کش کره جنوبی توسط ندسا.,"Politics, Economy, Crime/Safety"
2202,حمله حامیان ترامپ به کاخ کنگره ایالات متحده,"Politics, Crime/Safety"
2203,هادی رستمی محکوم به قطع چهار انگشت دست راست در زندان ارومیه در اعتراض به تداوم نگهداری در بند امن زندان ارومیه با خوردن شیشه شکسته اقدام به خودکشی کرد,"Social, Crime/Safety"
2204,آغاز جام حذفی فوتبال ایران ۱۴۰۰–۱۳۹۹,"Sports/Entertainment"
2205,سیلی زدن علی‌اصغر عنابستانی به یک پلیس راهنمایی و رانندگی فراجا,"Social, Politics, Crime/Safety"
2206,"تظاهرات ۲۰۲۱ روسیه، در حمایت از رهبر بازداشته شده مخالفان آلکسی ناوالنی","Politics, Social"
2207,عبور تعداد مبتلایان کرونا در جهان از مرز ۱۰۰ میلیون نفر,"Health"
2208,کودتای ۲۰۲۱ میانمار,"Politics"
2209,۱۰ - تایید نهایی حکم قصاص آرمان عبدالعالی ؛ عامل جنایت قتل غزاله شکور دروان عالی کشور,"Crime/Safety, Social"
2210,۱۳ - ارسال نهایی پرونده جنایی آرمان عبدالعالی ؛ دوست و عامل جنایت قتل غزاله شکور به واحد اجرای احکام,"Crime/Safety, Social"
2211,تایید نهایی حکم قصاص آرمان عبدالعالی ؛ عامل جنایت قتل غزاله شکور در دیوان عالی کشور,"Crime/Safety, Social"
2212,جنایت میدان آرژانتین تهران,"Crime/Safety"
2213,اعتصاب غذای سه روزهٔ زندانیان سیاسی,"Politics, Social"
2214,تجمع اعتراضی در گنبدکاووس,"Social, Politics"
2215,انعقاد قرارداد ۲۵ ساله همکاری مشترک ایران و چین,"Politics, Economy"
2216,کشته‌شدن دو محیط‌بان در زنجان,"Crime/Safety, Social"
2217,حادثه نطنز,"Politics, Technology/Science, Crime/Safety"
2218,حادثه ۱۴۰۰ نطنز,"Politics, Technology/Science, Crime/Safety"
2219,کشته شدن دو شهروند ایرانی توسط مرزبانی ترکیه,"Politics, Crime/Safety"
2220,کشته شدن دو مرزبان هنگ مرزی سراوان,"Politics, Crime/Safety"
2221,زمین‌لرزه بندر گناوه,"Natural Disaster"
2222,انتشار مصاحبه محمدجواد ظریف با سعید لیلاز توسط ایران اینترنشنال,"Politics"
2223,افشای فایل صوتی محرمانه ظریف,"Politics"
2224,قادر رحیم‌زاده به دستور سید علی خامنه‌ای به‌عنوان فرمانده قرارگاه پدافند هوایی خاتم‌الانبیا انتخاب شد,"Politics"
2225,قتل علی فاضلی منفرد در اهواز,"Social, Crime/Safety"
2226,انفجار تروریستی جلوی مدرسه سیدالشهدا در کابل که نزدیک به ۱۰۰ دانش‌آموز دختر و پسر را قربانی کرد.,"Politics, Crime/Safety, Social"
2227,آغاز ثبت نام انتخابات ریاست جمهوری ایران,"Politics"
2228,بررسی صلاحیت داوطلبان انتخابات جمهوری اسلامی در شورای نگهبان,"Politics"
2229,قتل بابک خرمدین (کارگردان) توسط والدینش در تهران,"Crime/Safety, Social"
2230,زمین‌لرزه سنخواست,"Natural Disaster"
2231,حادثه اردیبهشت هواپیمایی زاگرس,"Crime/Safety, Technology/Science"
2232,بحران برق و خاموشی در ایران,"Economy, Social, Technology/Science"
2233,انفجار در صنایع شیمیایی نارگستر سپاهان,"Crime/Safety, Technology/Science"
2234,حادثه ۱۱ خرداد فروند نورثروپ اف-۵ نهاجا,"Crime/Safety, Technology/Science"
2235,انفجار و آتش‌سوزی درگ بخار کشتی خارک,"Crime/Safety, Politics, Technology/Science"
2236,آتش‌سوزی در پالایشگاه نفت تهران,"Crime/Safety, Economy, Technology/Science"
2237,رقابت ۱۳ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال هنگ کنگ در مرحله مقدماتی جام جهانی فوتبال ۲۰۲۲ (آسیا) و مرحله مقدماتی جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2238,رقابت ۱۷ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال بحرین در مرحله مقدماتی جام جهانی فوتبال ۲۰۲۲ (آسیا) و مرحله مقدماتی جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2239,رقابت ۲۱ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال کامبوج در مرحله مقدماتی جام جهانی فوتبال ۲۰۲۲ (آسیا) و مرحله مقدماتی جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2240,رقابت ۲۵ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال عراق در مرحله مقدماتی جام جهانی فوتبال ۲۰۲۲ آسیا و مرحله مقدماتی جام ملت‌های آسیا ۲۰۲۳,"Sports/Entertainment"
2241,انتخابات ریاست‌جمهوری ایران (۱۴۰۰),"Politics"
2242,سیزدهمین دوره انتخابات ریاست جمهوری ایران,"Politics"
2243,حادثه ۲۹ خرداد فروند بل ۲۱۴,"Crime/Safety, Technology/Science"
2244,سوپر جام فوتبال ایران ۱۳۹۹,"Sports/Entertainment"
2245,اعتراض به نتیجه انتخابات در یاسوج و سرکوب معترضان,"Politics, Social, Crime/Safety"
2246,آغاز اعتصابات کارگری ایران,"Economy, Social, Politics"
