id,title,category
1401,سیل دشت مغان اردبیل,"Natural Disaster"
1402,جنجال کاریکاتور روزنامه ایران,"Social, Politics"
1403,اعتراض گسترده ترک های آذربایجان ایران به کاریکاتور منتشر شده توسط روزنامه ایران,"Social, Politics"
1404,رونمایی رسمی لینوکس شریف در دانشگاه صنعتی شریف,"Technology/Science"
1405,رقابت ۲۱ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال مکزیک در جام جهانی فوتبال ۲۰۰۶,"Sports/Entertainment"
1406,تجمع ۲۲ خرداد,"Social, Politics"
1407,رقابت ۲۷ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال پرتغال در جام جهانی فوتبال ۲۰۰۶,"Sports/Entertainment"
1408,رقابت ۳۱ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال آنگولا در جام جهانی فوتبال ۲۰۰۶,"Sports/Entertainment"
1409,تأسیس شورای راهبردی روابط خارجی,"Politics"
1410,قهرمانی ایتالیا در جام جهانی ۲۰۰۶,"Sports/Entertainment"
1411,ِ ۳۱ - پاسخ ایران به بسته پیشنهادی کشورهای ۱+۵ توسط علی لاریجانی، دبیر شورای عالی امنیت ملی کشور به نمایندگان این کشورها در ایران داده شد.,"Politics"
1412,فیدل کاسترو به دلیل خونریزی تحت عمل جراحی روده قرار گرفت و بخاطر بیماری از رهبری کوبا کنار رفت و رائول کاسترو برادرش را جانشین خود کرد.,"Politics, Health"
1413,حادثه ۲۰ مرداد سقوط هلیکوپتر کاموف-۵۰,"Crime/Safety, Technology/Science"
1414,رقابت ۲۵ مرداد تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در جام ملت‌های آسیا ۲۰۰۷,"Sports/Entertainment"
1415,۲۷: انوشه انصاری نخستین فضانورد ایرانی با فضاپیمای سایوز تی‌ام‌ای-۹ به مقصد ایستگاه فضایی بین‌المللی پرواز کرد.,"Technology/Science, Social"
1416,۱ شهریور:انتشار آلبوم خودشه از حبیب و محمد محبیان,"Social, Sports/Entertainment"
1417,آغاز فعالیت کمپین یک میلیون امضا,"Social, Politics"
1418,حادثه ۱۰ شهریور توپولف تو-۱۵۴,"Crime/Safety, Technology/Science"
1419,رقابت ۱۱ شهریور تیم ملی فوتبال ایران با تیم ملی فوتبال کره جنوبی در جام ملت‌های آسیا ۲۰۰۷,"Sports/Entertainment"
1420,رقابت ۱۵ شهریور تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در جام ملت‌های آسیا ۲۰۰۷,"Sports/Entertainment"
1421,سفر انوشه انصاری به‌عنوان نخستین زن گردشگر فضایی به دور مدار زمین,"Technology/Science, Social"
1422,سرشماری عمومی نفوس و مسکن در ایران،,"Social, Politics"
1423,رقابت ۲۴ آبان تیم ملی فوتبال ایران با تیم ملی فوتبال کره جنوبی در جام ملت‌های آسیا ۲۰۰۷,"Sports/Entertainment"
1424,حادثه سقوط بوئینگ سی‌اچ-۴۷ شینوک هوانیروز ارتش جمهوری اسلامی ایران,"Crime/Safety, Technology/Science"
