year,month,day,title,links
1354,1,30,تهران - تأسیس دانشگاه فرح پهلوی,"[{'text': 'تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}, {'text': 'دانشگاه فرح پهلوی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87_%D8%A7%D9%84%D8%B2%D9%87%D8%B1%D8%A7'}, {'text': 'فرح پهلوی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%AD_%D9%BE%D9%87%D9%84%D9%88%DB%8C'}]"
1354,9,30,وین - کارلوس تروریست بین‌المللی وزیران نفت اوپک را به گروگان می‌گیرد. جمشید آموزگار بین گروگان‌ها است.,"[{'text': 'اوپک', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%88%D9%BE%DA%A9'}, {'text': 'جمشید آموزگار', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%85%D8%B4%DB%8C%D8%AF_%D8%A2%D9%85%D9%88%D8%B2%DA%AF%D8%A7%D8%B1'}, {'text': 'وین', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%DB%8C%D9%86'}, {'text': 'کارلوس', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D9%84%DB%8C%DA%86_%D8%B1%D8%A7%D9%85%DB%8C%D8%B1%D8%B2_%D8%B3%D8%A7%D9%86%DA%86%D8%B2'}]"
1355,2,4,سیل خراسان,[]
1355,5,3,سیل جنوب ایران,[]
1355,5,3,رقابت ۳ مرداد تیم ملی فوتبال ایران با تیم ملی فوتبال شوروی در فوتبال در بازی‌های المپیک تابستانی ۱۹۷۶,"[{'text': 'مرداد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AF%D8%A7%D8%AF'}]"
1355,5,14,سفر هنری کیسینجر وزیر امور خارجه آمریکا به تهران.,"[{'text': 'تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}, {'text': 'هنری کیسینجر', 'url': 'https://fa.wikipedia.org/wiki/%D9%87%D9%86%D8%B1%DB%8C_%DA%A9%DB%8C%D8%B3%DB%8C%D9%86%D8%AC%D8%B1'}]"
1355,11,8,رقابت ۸ بهمن تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در مرحله مقدماتی جام جهانی فوتبال ۱۹۷۸ (آسیا و اقیانوسیه),"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'بهمن', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D9%85%D9%86'}]"
1355,11,20,ثبت رسمی آرامگاه رضاشاه با شماره ثبت ۱۳۲۹ به‌عنوان یکی از آثار ملی ایران,"[{'text': 'آرامگاه رضاشاه', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B1%D8%A7%D9%85%DA%AF%D8%A7%D9%87_%D8%B1%D8%B6%D8%A7%D8%B4%D8%A7%D9%87'}, {'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]"
1355,12,5,تنفیذ قانون اساسی جمهوری افغانستان از سوی محمدداود خان، رییس نظام جمهوری افغانستان.,[]
1355,2,11,شرکت هواپیمایی ملی ایران (هما) یک خط هوایی با بویینگ ۷۴۷ بین تهران، لندن و نیویورک ایجاد می‌کرد.,"[{'text': 'لندن', 'url': 'https://fa.wikipedia.org/wiki/%D9%84%D9%86%D8%AF%D9%86'}, {'text': 'نیویورک', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%DB%8C%D9%88%DB%8C%D9%88%D8%B1%DA%A9'}, {'text': 'هواپیمایی ملی ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D8%A7%DB%8C%D8%B1'}]"
1355,2,30,دولت ایران به سازمان آزادیبخش فلسطین پروانه گشایش دفتر در تهران می‌داد.,"[{'text': 'سازمان آزادیبخش فلسطین', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86_%D8%A2%D8%B2%D8%A7%D8%AF%DB%8C%E2%80%8C%D8%A8%D8%AE%D8%B4_%D9%81%D9%84%D8%B3%D8%B7%DB%8C%D9%86'}]"
1356,1,15,رقابت ۱۵ فروردین تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در مرحله مقدماتی جام جهانی فوتبال ۱۹۷۸ (آسیا و اقیانوسیه),"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'فروردین', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%88%D8%B1%D8%AF%DB%8C%D9%86'}, {'text': '۵ فروردین', 'url': 'https://fa.wikipedia.org/wiki/%DB%B5_%D9%81%D8%B1%D9%88%D8%B1%D8%AF%DB%8C%D9%86'}]"
1356,3,1,سیل لرستان,[]
1356,3,14,سیل تاکستان قزوین و طارم علیا زنجان,[]
1356,3,29,رقابت ۲۹ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال هنگ کنگ در مرحله مقدماتی جام جهانی فوتبال ۱۹۷۸ آسیا و اقیانوسیه,"[{'text': 'خرداد', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF'}, {'text': '۹ خرداد', 'url': 'https://fa.wikipedia.org/wiki/%DB%B9_%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF'}]"
1356,4,5,دانشجویان دانشگاه تهران و دانشگاه آریامهر (صنعتی شریف) در بازار تهران و مقابل دانشگاه آریامهر تظاهرات کردند.,"[{'text': 'بازار تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1_%D8%A8%D8%B2%D8%B1%DA%AF_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}, {'text': 'تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}, {'text': 'دانشگاه آریامهر', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87_%D8%B5%D9%86%D8%B9%D8%AA%DB%8C_%D8%B4%D8%B1%DB%8C%D9%81'}, {'text': 'دانشگاه تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}, {'text': 'صنعتی شریف', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87_%D8%B5%D9%86%D8%B9%D8%AA%DB%8C_%D8%B4%D8%B1%DB%8C%D9%81'}]"
1356,5,2,سناتور رابرت برد رهبر دموکراتها در سنای آمریکا به فروش آواکس به ایران مخالفت کرد,[]
1356,5,15,کناره‌گیری هویدا از نخست‌وزیری.,[]
1356,5,16,‌ تشکیل دولت جمشید آموزگار,"[{'text': 'دولت جمشید آموزگار', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%AA_%D8%AC%D9%85%D8%B4%DB%8C%D8%AF_%D8%A2%D9%85%D9%88%D8%B2%DA%AF%D8%A7%D8%B1'}]"
1356,5,16,امیرعباس هویدا به مقام وزیر دربار منصوب شد,"[{'text': 'امیرعباس هویدا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%D8%B9%D8%A8%D8%A7%D8%B3_%D9%87%D9%88%DB%8C%D8%AF%D8%A7'}]"
1356,6,12,رقابت ۱۲ شهریور تیم ملی فوتبال ایران با تیم ملی فوتبال کره جنوبی در مرحله مقدماتی جام جهانی فوتبال ۱۹۷۸ (آسیا و اقیانوسیه),"[{'text': 'شهریور', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%DB%8C%D9%88%D8%B1'}, {'text': '۲ شهریور', 'url': 'https://fa.wikipedia.org/wiki/%DB%B2_%D8%B4%D9%87%D8%B1%DB%8C%D9%88%D8%B1'}]"
1356,6,29,زیبا بروفه، بازیگر,"[{'text': 'زیبا بروفه', 'url': 'https://fa.wikipedia.org/wiki/%D8%B2%DB%8C%D8%A8%D8%A7_%D8%A8%D8%B1%D9%88%D9%81%D9%87'}]"
1356,6,29,محمد محمدی، بازیکن فوتبال,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]"
1356,7,18,آغاز شب‌های شعر گوته,[]
1356,8,2,برگزاری نخستین مراسم عزاداری به مناسبت درگذشت سید مصطفی خمینی، در ایران، در مسجد اعظم قم,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'سید مصطفی خمینی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D8%AE%D9%85%DB%8C%D9%86%DB%8C'}, {'text': 'قم', 'url': 'https://fa.wikipedia.org/wiki/%D9%82%D9%85'}]"
1356,8,20,رقابت ۲۰ آبان تیم ملی فوتبال ایران با تیم ملی فوتبال کره جنوبی در مرحله مقدماتی جام جهانی فوتبال ۱۹۷۸ (آسیا و اقیانوسیه),"[{'text': 'آبان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%A7%D9%86'}, {'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]"
1356,8,27,رقابت ۲۷ آبان تیم ملی فوتبال ایران با تیم ملی فوتبال هنگ کنگ در مرحله مقدماتی جام جهانی فوتبال ۱۹۷۸ (آسیا و اقیانوسیه),"[{'text': 'آبان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%A7%D9%86'}, {'text': '۷ آبان', 'url': 'https://fa.wikipedia.org/wiki/%DB%B7_%D8%A2%D8%A8%D8%A7%D9%86'}]"
1356,10,10,سفر جیمی کارتر رئیس‌جمهور آمریکا به ایران.,[]
1356,10,17,انتشار مقاله ایران و استعمار سرخ و سیاه,"[{'text': 'ایران و استعمار سرخ و سیاه', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D8%B3%D8%AA%D8%B9%D9%85%D8%A7%D8%B1_%D8%B3%D8%B1%D8%AE_%D9%88_%D8%B3%DB%8C%D8%A7%D9%87'}]"
1356,10,19,قیام مردم قم,[]
1356,11,29,تظاهرات ۲۹ بهمن تبریز,"[{'text': 'بهمن', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D9%85%D9%86'}, {'text': 'تظاهرات ۲۹ بهمن تبریز', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D8%B8%D8%A7%D9%87%D8%B1%D8%A7%D8%AA_%DB%B2%DB%B9_%D8%A8%D9%87%D9%85%D9%86_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2'}, {'text': '۹ بهمن', 'url': 'https://fa.wikipedia.org/wiki/%DB%B9_%D8%A8%D9%87%D9%85%D9%86'}]"
1356,3,1,سیل ۱۳۵۶ لرستان,"[{'text': 'سیل ۱۳۵۶ لرستان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D9%84_%DB%B1%DB%B3%DB%B5%DB%B6_%D9%84%D8%B1%D8%B3%D8%AA%D8%A7%D9%86'}]"
1356,10,10,سفر جیمی کارتر رئیس‌جمهور آمریکا به ایران,[]
1356,1,16,انتشار آلبوم مرد تنهای شب از حبیب,"[{'text': 'مرد تنهای شب', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AF_%D8%AA%D9%86%D9%87%D8%A7%DB%8C_%D8%B4%D8%A8'}]"
1356,11,22,گشایش موزه فرش ایران,"[{'text': 'موزه فرش ایران', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%88%D8%B2%D9%87_%D9%81%D8%B1%D8%B4_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]"
1357,3,13,رقابت ۱۳ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال هلند در جام جهانی فوتبال  ۱۹۷۸,"[{'text': 'خرداد', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF'}, {'text': '۳ خرداد', 'url': 'https://fa.wikipedia.org/wiki/%DB%B3_%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF'}]"
1357,3,17,رقابت ۱۷ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال اسکاتلند در جام جهانی فوتبال ۱۹۷۸,"[{'text': 'خرداد', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF'}, {'text': '۷ خرداد', 'url': 'https://fa.wikipedia.org/wiki/%DB%B7_%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF'}]"
1357,3,21,رقابت ۲۱ خرداد تیم ملی فوتبال ایران با تیم ملی فوتبال پرو در جام جهانی فوتبال  ۱۹۷۸,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'خرداد', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF'}, {'text': '۱ خرداد', 'url': 'https://fa.wikipedia.org/wiki/%DB%B1_%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF'}]"
1357,4,4,قهرمانی آرژانتین در جام جهانی ۱۹۷۸,[]
1357,5,7,حمله شدیداللحن فیدل کاسترو به ایران و عربستان سعودی که ثروت مردم فقیر را به نفع قدرت های امپریالیستی از چنگشان خارج می کنند.,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'عربستان سعودی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%B1%D8%A8%D8%B3%D8%AA%D8%A7%D9%86_%D8%B3%D8%B9%D9%88%D8%AF%DB%8C'}, {'text': 'فیدل کاسترو', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%DB%8C%D8%AF%D9%84_%DA%A9%D8%A7%D8%B3%D8%AA%D8%B1%D9%88'}]"
1357,5,28,آتش‌سوزی سینما رکس آبادان,"[{'text': 'آتش\u200cسوزی سینما رکس آبادان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%AA%D8%B4%E2%80%8C%D8%B3%D9%88%D8%B2%DB%8C_%D8%B3%DB%8C%D9%86%D9%85%D8%A7_%D8%B1%DA%A9%D8%B3_%D8%A2%D8%A8%D8%A7%D8%AF%D8%A7%D9%86'}]"
1357,5,31,پیام روح‌الله خمینی در پی آتش‌سوزی سینما رکس آبادان,"[{'text': 'آتش\u200cسوزی سینما رکس آبادان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%AA%D8%B4%E2%80%8C%D8%B3%D9%88%D8%B2%DB%8C_%D8%B3%DB%8C%D9%86%D9%85%D8%A7_%D8%B1%DA%A9%D8%B3_%D8%A2%D8%A8%D8%A7%D8%AF%D8%A7%D9%86'}]"
1357,6,5,انحلال دولت جمشید آموزگار و تشکیل دولت سوم جعفر شریف‌امامی,"[{'text': 'دولت جمشید آموزگار', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%AA_%D8%AC%D9%85%D8%B4%DB%8C%D8%AF_%D8%A2%D9%85%D9%88%D8%B2%DA%AF%D8%A7%D8%B1'}, {'text': 'دولت سوم جعفر شریف\u200cامامی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%AA_%D8%B3%D9%88%D9%85_%D8%AC%D8%B9%D9%81%D8%B1_%D8%B4%D8%B1%DB%8C%D9%81%E2%80%8C%D8%A7%D9%85%D8%A7%D9%85%DB%8C'}]"
1357,6,9,ربوده شدن سید موسی صدر,"[{'text': 'سید موسی صدر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D9%88%D8%B3%DB%8C_%D8%B5%D8%AF%D8%B1'}]"
1357,6,16,تصویب اعلام حکومت نظامی در تهران به درخواست شریف امامی نخست‌وزیر پهلوی,"[{'text': 'حکومت نظامی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%DA%A9%D9%88%D9%85%D8%AA_%D9%86%D8%B8%D8%A7%D9%85%DB%8C'}]"
1357,6,25,زمین‌لرزه طبس,[]
1357,7,3,انحلال حزب رستاخیز,"[{'text': 'حزب رستاخیز', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B2%D8%A8_%D8%B1%D8%B3%D8%AA%D8%A7%D8%AE%DB%8C%D8%B2'}]"
1357,7,29,تظاهرات ضدسلطنتی دانشجویان در دانشگاه‌های تهران و ملی (دانشگاه شهید بهشتی کنونی),"[{'text': 'دانشجو', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%86%D8%B4%D8%AC%D9%88'}, {'text': 'دانشگاه', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87'}, {'text': 'دانشگاه شهید بهشتی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87_%D8%B4%D9%87%DB%8C%D8%AF_%D8%A8%D9%87%D8%B4%D8%AA%DB%8C'}]"
1357,7,29,تحصن علمای حوزه علمیه قم در مدرسه خان، برای اعتراض به فاجعه مسجد جامع کرمان,"[{'text': 'حوزه علمیه قم', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D9%88%D8%B2%D9%87_%D8%B9%D9%84%D9%85%DB%8C%D9%87_%D9%82%D9%85'}, {'text': 'مدرسه خان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AF%D8%B1%D8%B3%D9%87_%D8%AE%D8%A7%D9%86'}, {'text': 'مسجد جامع کرمان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B3%D8%AC%D8%AF_%D8%AC%D8%A7%D9%85%D8%B9_%DA%A9%D8%B1%D9%85%D8%A7%D9%86'}]"
1357,7,29,اعتصاب کارکنان وزارت کشور و پالایشگاه نفت تهران و بانک ایران و انگلیس,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'وزارت کشور', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%D8%B2%D8%A7%D8%B1%D8%AA_%DA%A9%D8%B4%D9%88%D8%B1'}, {'text': 'پالایشگاه نفت تهران', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D9%84%D8%A7%DB%8C%D8%B4%DA%AF%D8%A7%D9%87_%D9%86%D9%81%D8%AA_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}]"
1357,8,2,تظاهرات ضدسلطنتی، مردم در شهرهای گرگان و قم,"[{'text': 'قم', 'url': 'https://fa.wikipedia.org/wiki/%D9%82%D9%85'}, {'text': 'گرگان', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D8%B1%DA%AF%D8%A7%D9%86'}]"
1357,8,3,تحصن دانشجویان در بسیاری از دانشگاه‌ها و آزادی ۱۱۰۰ تن از معترضان به حکومت پهلوی از زندان‌ها,"[{'text': 'حکومت پهلوی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%BE%D9%87%D9%84%D9%88%DB%8C'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]"
1357,8,14,انحلال دولت سوم جعفر شریف‌امامی,"[{'text': 'دولت سوم جعفر شریف\u200cامامی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%AA_%D8%B3%D9%88%D9%85_%D8%AC%D8%B9%D9%81%D8%B1_%D8%B4%D8%B1%DB%8C%D9%81%E2%80%8C%D8%A7%D9%85%D8%A7%D9%85%DB%8C'}]"
1357,8,15,‌ تشکیل دولت نظامی غلامرضا ازهاری,"[{'text': 'دولت نظامی غلامرضا ازهاری', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%AA_%D9%86%D8%B8%D8%A7%D9%85%DB%8C_%D8%BA%D9%84%D8%A7%D9%85%D8%B1%D8%B6%D8%A7_%D8%A7%D8%B2%D9%87%D8%A7%D8%B1%DB%8C'}]"
1357,9,19,راهپیمایی ۱۹ آذر,"[{'text': 'آذر', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B0%D8%B1'}, {'text': '۹ آذر', 'url': 'https://fa.wikipedia.org/wiki/%DB%B9_%D8%A2%D8%B0%D8%B1'}]"
1357,9,24,حادثهٔ خونبار مسجد ملک کرمان (مسجد امام خمینی حاضر). در این تاریخ در مسجد ذکرشده اجتماع عظیمی برپا شد. بعد از این تجمع، مردم راهپیمایی علیه رژیم حاکم (محمدرضا شاه پهلوی) را به سمت مسجد صاحب‌الزمان آغاز کردند که در چهارراه امام خمینی کرمان مأموران جلوی حرکت مردم را گرفتند و تعدادی از تظاهرکنندگان کشته و مجروح شدند. در این درگیری «فرامرز دادبین»، «غلامحسین مهدوی» و سید «حسین حسینی» کشته شدند.,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]"
1357,10,10,انحلال دولت نظامی غلامرضا ازهاری.,"[{'text': 'دولت نظامی غلامرضا ازهاری', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%AA_%D9%86%D8%B8%D8%A7%D9%85%DB%8C_%D8%BA%D9%84%D8%A7%D9%85%D8%B1%D8%B6%D8%A7_%D8%A7%D8%B2%D9%87%D8%A7%D8%B1%DB%8C'}]"
1357,10,14,آغاز کنفرانس گوادلوپ,"[{'text': 'کنفرانس گوادلوپ', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D9%81%D8%B1%D8%A7%D9%86%D8%B3_%DA%AF%D9%88%D8%A7%D8%AF%D9%84%D9%88%D9%BE'}]"
1357,10,17,پایان کنفرانس گوادلوپ,"[{'text': 'کنفرانس گوادلوپ', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D9%81%D8%B1%D8%A7%D9%86%D8%B3_%DA%AF%D9%88%D8%A7%D8%AF%D9%84%D9%88%D9%BE'}]"
1357,10,23,تشکیل شورای سلطنت,"[{'text': 'شورای سلطنت', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%B3%D9%84%D8%B7%D9%86%D8%AA'}]"
1357,10,23,انتخاب سید جلال‌الدین تهرانی به ریاست شورای سلطنت,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'سید جلال\u200cالدین تهرانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AC%D9%84%D8%A7%D9%84%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86%DB%8C'}, {'text': 'شورای سلطنت', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%B3%D9%84%D8%B7%D9%86%D8%AA'}]"
1357,10,26,خروج محمدرضا پهلوی از ایران در پی بالاگرفتن تظاهرات مردمی,"[{'text': 'محمدرضا پهلوی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B1%D8%B6%D8%A7_%D9%BE%D9%87%D9%84%D9%88%DB%8C'}]"
1357,10,26,زمین‌لرزه قائن,[]
1357,11,9,بازگشایی فرودگاه مهرآباد به فرمان شاپور بختیار,[]
1357,11,10,گروه کثیری از اسلامگرایان افراطی در حالی که شعارهای مذهبی می‌دادند به کارخانه آبجوسازی شمس حمله کردند و این کارخانه را طعمه حریق ساختند.,[]
1357,11,12,بازگشت سید روح‌الله خمینی پس از ۱۴سال تبعید از فرانسه به ایران,"[{'text': 'سال', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84'}]"
1357,11,15,بنیان‌گذاری دولت موقت ایران,"[{'text': 'دولت موقت ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%AA_%D9%85%D9%88%D9%82%D8%AA_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]"
1357,11,15,انتخاب مهدی بازرگان به مقام نخست وزیری ایران,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'مهدی بازرگان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%A8%D8%A7%D8%B2%D8%B1%DA%AF%D8%A7%D9%86'}]"
1357,11,18,دستور ایالات متحده آمریکا به کارکنان خود برای خروج از ایران,"[{'text': 'ایالات متحده آمریکا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA_%D9%85%D8%AA%D8%AD%D8%AF%D9%87_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7'}, {'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]"
1357,11,22,پیروزی انقلاب,"[{'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}]"
1357,11,22,اعلامیه بی‌طرفی ارتش,"[{'text': 'اعلامیه بی\u200cطرفی ارتش', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D9%84%D8%A7%D9%85%DB%8C%D9%87_%D8%A8%DB%8C%E2%80%8C%D8%B7%D8%B1%D9%81%DB%8C_%D8%A7%D8%B1%D8%AA%D8%B4'}]"
1357,11,29,بنیان‌گذاری حزب جمهوری اسلامی,"[{'text': 'حزب جمهوری اسلامی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B2%D8%A8_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C'}]"
1357,12,14,تأسیس کمیته امداد امام خمینی به دستور سید روح‌الله خمینی‌,"[{'text': 'سید روح\u200cالله خمینی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B1%D9%88%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D9%85%DB%8C%D9%86%DB%8C'}, {'text': 'کمیته امداد امام خمینی', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%85%DB%8C%D8%AA%D9%87_%D8%A7%D9%85%D8%AF%D8%A7%D8%AF_%D8%A7%D9%85%D8%A7%D9%85_%D8%AE%D9%85%DB%8C%D9%86%DB%8C'}]"
1357,12,17,تظاهرات ۱۷ اسفند,"[{'text': 'اسفند', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%81%D9%86%D8%AF'}, {'text': '۷ اسفند', 'url': 'https://fa.wikipedia.org/wiki/%DB%B7_%D8%A7%D8%B3%D9%81%D9%86%D8%AF'}]"
1357,12,20,خروج رسمی ایران از پیمان سنتو,[]
