day,month,person,details,person_links,year
14.0,5.0,ربابه مراداوا,خواننده شهیر موسیقی مقامی آذربایجانی، ایرانی‌تبار آذربایجانی,"[{'text': 'ربابه مراداوا', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%A8%D8%A7%D8%A8%D9%87_%D9%85%D8%B1%D8%A7%D8%AF%D9%88%D8%A7'}]",1362
15.0,5.0,مصطفی ردانی پور,روحانی و نظامی ایرانی,[],1362
18.0,5.0,امین‌الله آندره حسین,آهنگساز ایرانی ساکن فرانسه,"[{'text': 'امین\u200cالله آندره حسین', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AD%D8%B3%DB%8C%D9%86'}]",1362
17.0,10.0,لطف‌الله مفخم پایان,موسیقی‌دان,"[{'text': 'لطف\u200cالله مفخم پایان', 'url': 'https://fa.wikipedia.org/wiki/%D9%84%D8%B7%D9%81%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D9%85%D9%81%D8%AE%D9%85%E2%80%8C%D9%BE%D8%A7%DB%8C%D8%A7%D9%86'}]",1362
18.0,11.0,ارتشبد غلامعلی اویسی,ارتشبد نیروی زمینی شاهنشاهی,"[{'text': 'ارتشبد', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AA%D8%B4%D8%A8%D8%AF'}, {'text': 'ارتشبد غلامعلی اویسی', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%B9%D9%84%DB%8C_%D8%A7%D9%88%DB%8C%D8%B3%DB%8C'}]",1362
24.0,11.0,رضا رادمنش,از اعضای حزب توده,"[{'text': 'رضا رادمنش', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%D8%B1%D8%A7%D8%AF%D9%85%D9%86%D8%B4'}]",1362
6.0,12.0,بهرام افضلی,ناخدا یکم نیروی دریایی ارتش جمهوری اسلامی ایران و فرمانده آن نیرو طی سال‌های ۱۳۵۹ تا ۱۳۶۲,"[{'text': 'بهرام افضلی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%A7%D9%81%D8%B6%D9%84%DB%8C'}]",1362
17.0,12.0,محمد ابراهیم همت,نظامی و معلم,"[{'text': 'محمد ابراهیم همت', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85_%D9%87%D9%85%D8%AA'}]",1362
13.0,2.0,محمد تقی کهنمویی,بازیگر,"[{'text': 'محمد تقی کهنمویی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%DA%A9%D9%87%D9%86%D9%85%D9%88%DB%8C%DB%8C'}]",1363
24.0,2.0,حبیب یغمایی,شاعر,"[{'text': 'حبیب یغمایی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%A8%DB%8C%D8%A8_%DB%8C%D8%BA%D9%85%D8%A7%DB%8C%DB%8C'}]",1363
18.0,5.0,ابوالقاسم پاینده,نویسنده و مترجم,"[{'text': 'ابوالقاسم پاینده', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85_%D9%BE%D8%A7%DB%8C%D9%86%D8%AF%D9%87'}]",1363
28.0,5.0,آذر اندامی,پژوهشگر انستیتو پاستور ایران؛ که به خاطر خدمات علمی و انسانی او یکی از حفره‌های برخوردی روی سیاره ناهید به نام وی اندامی نامگذاری شده‌است. (زاده ۱۳۰۵),"[{'text': 'آذر اندامی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B0%D8%B1_%D8%A7%D9%86%D8%AF%D8%A7%D9%85%DB%8C'}]",1363
4.0,7.0,محمود تفضلی,مترجم,"[{'text': 'محمود تفضلی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%AA%D9%81%D8%B6%D9%84%DB%8C'}]",1363
19.0,7.0,آیت‌الله میرزا خلیل کمره‌ای,نویسنده، محقق و فیلسوف الهی,"[{'text': 'آیت\u200cالله میرزا خلیل کمره\u200cای', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D9%84%DB%8C%D9%84_%DA%A9%D9%85%D8%B1%D9%87%E2%80%8C%D8%A7%DB%8C'}]",1363
19.0,7.0,سید کریم امیری فیروزکوهی,شاعر,"[{'text': 'سید کریم امیری فیروزکوهی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%DA%A9%D8%B1%DB%8C%D9%85_%D8%A7%D9%85%DB%8C%D8%B1%DB%8C_%D9%81%DB%8C%D8%B1%D9%88%D8%B2%DA%A9%D9%88%D9%87%DB%8C'}]",1363
3.0,9.0,محمود کریمی,موسیقی‌دان,[],1363
12.0,9.0,بهرام صادقی,نویسنده,"[{'text': 'بهرام صادقی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%B5%D8%A7%D8%AF%D9%82%DB%8C'}]",1363
20.0,10.0,غلام‌عباس آرام,سیاستمدار و از وزیران امور خارجه ایران در دوره پهلوی.,"[{'text': 'غلام\u200cعباس آرام', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%E2%80%8C%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A2%D8%B1%D8%A7%D9%85'}]",1363
20.0,10.0,احمد خوانساری,شیعه و مرجع تقلید,[],1363
22.0,12.0,حسین گل‌گلاب,شاعر,"[{'text': 'حسین گل\u200cگلاب', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%DA%AF%D9%84%E2%80%8C%DA%AF%D9%84%D8%A7%D8%A8'}]",1363
25.0,12.0,مهدی باکری,فرمانده سپاه,"[{'text': 'مهدی باکری', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%A8%D8%A7%DA%A9%D8%B1%DB%8C'}]",1363
26.0,12.0,علی‌اکبر شهنازی,نوازنده,[],1363
9.0,3.0,فریدون توللی,شاعر,"[{'text': 'فریدون توللی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86_%D8%AA%D9%88%D9%84%D9%84%DB%8C'}]",1364
31.0,3.0,بهرام آریانا با نام اصلی حسین معتمدی منوچهری تنکابنی در پاریس ارتشبد نیروی زمینی شاهنشاهی و فرمانده آن نیرو,,"[{'text': 'ارتشبد', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AA%D8%B4%D8%A8%D8%AF'}, {'text': 'بهرام آریانا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%A2%D8%B1%DB%8C%D8%A7%D9%86%D8%A7'}, {'text': 'پاریس', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%B1%DB%8C%D8%B3'}]",1364
17.0,4.0,محمدمهدی ربانی املشی,روحانی و سیاست‌مدار,"[{'text': 'محمدمهدی ربانی املشی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D9%85%D9%87%D8%AF%DB%8C_%D8%B1%D8%A8%D8%A7%D9%86%DB%8C_%D8%A7%D9%85%D9%84%D8%B4%DB%8C'}]",1364
4.0,8.0,یحیی آرین پور,نویسنده و محقق,"[{'text': 'یحیی آرین پور', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D8%AD%DB%8C%DB%8C_%D8%A2%D8%B1%DB%8C%D9%86%E2%80%8C%D9%BE%D9%88%D8%B1'}]",1364
2.0,9.0,غلامحسین ساعدی,نویسنده,"[{'text': 'غلامحسین ساعدی', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%AD%D8%B3%DB%8C%D9%86_%D8%B3%D8%A7%D8%B9%D8%AF%DB%8C'}]",1364
1.0,12.0,فضل‌الله محلاتی,روحانی و نماینده ولی فقیه در سپاه پاسداران انقلاب اسلامی,"[{'text': 'فضل\u200cالله محلاتی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D9%85%D8%AD%D9%84%D8%A7%D8%AA%DB%8C'}]",1364
1.0,12.0,سید نورالدین رحیمی,روحانی,"[{'text': 'سید نورالدین رحیمی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%86%D9%88%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%B1%D8%AD%DB%8C%D9%85%DB%8C'}]",1364
1.0,12.0,عبدالباقی درویش,خلبان,"[{'text': 'عبدالباقی درویش', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%A8%D8%A7%D9%82%DB%8C_%D8%AF%D8%B1%D9%88%DB%8C%D8%B4'}]",1364
10.0,12.0,غلامحسین بنان,خواننده,"[{'text': 'غلامحسین بنان', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%AD%D8%B3%DB%8C%D9%86_%D8%A8%D9%86%D8%A7%D9%86'}]",1364
14.0,1.0,سید محمدکاظم شریعتمداری,مرجع تقلید شیعه,"[{'text': 'سید محمدکاظم شریعتمداری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF%DA%A9%D8%A7%D8%B8%D9%85_%D8%B4%D8%B1%DB%8C%D8%B9%D8%AA%D9%85%D8%AF%D8%A7%D8%B1%DB%8C'}]",1365
7.0,2.0,آتش خیر,بازیگر,"[{'text': 'آتش خیر', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%AA%D8%B4_%D8%AE%DB%8C%D8%B1'}]",1365
14.0,3.0,سید عباس جولایی,فرمانده,[],1365
19.0,3.0,ذبیح‌الله منصوری,مترجم,"[{'text': 'ذبیح\u200cالله منصوری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B0%D8%A8%DB%8C%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D9%85%D9%86%D8%B5%D9%88%D8%B1%DB%8C'}]",1365
23.0,4.0,مهدی حمیدی شیرازی,شاعر,"[{'text': 'مهدی حمیدی شیرازی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%AD%D9%85%DB%8C%D8%AF%DB%8C_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C'}]",1365
2.0,7.0,علی اکبر خوشدل,شاعر,[],1365
9.0,8.0,سلمان هراتی,شاعر,"[{'text': 'سلمان هراتی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D9%84%D9%85%D8%A7%D9%86_%D9%87%D8%B1%D8%A7%D8%AA%DB%8C'}]",1365
18.0,8.0,کریم کشاورز,مترجم,"[{'text': 'کریم کشاورز', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%DB%8C%D9%85_%DA%A9%D8%B4%D8%A7%D9%88%D8%B1%D8%B2'}]",1365
27.0,8.0,منوچهر بزرگمهر,حقوقدان,"[{'text': 'منوچهر بزرگمهر', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%86%D9%88%DA%86%D9%87%D8%B1_%D8%A8%D8%B2%D8%B1%DA%AF%D9%85%D9%87%D8%B1'}]",1365
28.0,8.0,محمدتقی مدرس رضوی,استاد ممتاز دانشگاه تهران,"[{'text': 'محمدتقی مدرس رضوی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D9%85%D8%AF%D8%B1%D8%B3_%D8%B1%D8%B6%D9%88%DB%8C'}]",1365
18.0,11.0,سید محسن صفوی,فرمانده,"[{'text': 'سید محسن صفوی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D8%B3%D9%86_%D8%B5%D9%81%D9%88%DB%8C'}]",1365
24.0,1.0,غلامحسین بیگجه‌خانی,,"[{'text': 'غلامحسین بیگجه\u200cخانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%AD%D8%B3%DB%8C%D9%86_%D8%A8%DB%8C%DA%AF%D8%AC%D9%87%E2%80%8C%D8%AE%D8%A7%D9%86%DB%8C'}]",1366
2.0,2.0,محمود محمودی خوانساری,خواننده,"[{'text': 'محمود محمودی خوانساری', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C_%D8%AE%D9%88%D8%A7%D9%86%D8%B3%D8%A7%D8%B1%DB%8C'}]",1366
28.0,2.0,حسین فردوست,نظامی,"[{'text': 'حسین فردوست', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%D9%81%D8%B1%D8%AF%D9%88%D8%B3%D8%AA'}]",1366
12.0,3.0,فاطمه پهلوی,,"[{'text': 'فاطمه پهلوی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%A7%D8%B7%D9%85%D9%87_%D9%BE%D9%87%D9%84%D9%88%DB%8C'}]",1366
15.0,5.0,عباس بابایی,خلبان,"[{'text': 'عباس بابایی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A8%D8%A7%D8%A8%D8%A7%DB%8C%DB%8C'}]",1366
18.0,5.0,مهدی سهیلی,شاعر,"[{'text': 'مهدی سهیلی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%B3%D9%87%DB%8C%D9%84%DB%8C'}]",1366
6.0,7.0,اعدام سید مهدی هاشمی,از بستگان حسینعلی منتظری بعد از ماجراهای ابتدای دهه شصت,[],1366
27.0,8.0,مظفر بقایی کرمانی,پزشک و فعال سیاسی.,"[{'text': 'مظفر بقایی کرمانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1_%D8%A8%D9%82%D8%A7%D8%A6%DB%8C'}]",1366
29.0,10.0,"مهدی برکشلی ,موسیقیدان ایرانی",,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'مهدی برکشلی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%A8%D8%B1%DA%A9%D8%B4%D9%84%DB%8C'}]",1366
11.0,11.0,امیر ناصر افتتاح نوازنده تنبک ایرانی,,"[{'text': 'امیر ناصر افتتاح', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D8%B1%D9%86%D8%A7%D8%B5%D8%B1_%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD'}, {'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'تنبک', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%85%D8%A8%DA%A9'}]",1366
16.0,11.0,ابراهیم فخرایی,نویسنده,"[{'text': 'ابراهیم فخرایی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85_%D9%81%D8%AE%D8%B1%D8%A7%DB%8C%DB%8C'}]",1366
2.0,12.0,حیدر یغما‎,نویسنده و شاعر,"[{'text': 'حیدر یغما', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%DB%8C%D8%AF%D8%B1_%DB%8C%D8%BA%D9%85%D8%A7'}]",1366
7.0,12.0,مهری آهی,مترجم,"[{'text': 'مهری آهی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%B1%DB%8C_%D8%A2%D9%87%DB%8C'}]",1366
19.0,1.0,آذر دانشی,دوبلور (زاده ۱۳۰۸),"[{'text': 'آذر', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B0%D8%B1'}, {'text': 'آذر دانشی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B0%D8%B1_%D8%AF%D8%A7%D9%86%D8%B4%DB%8C'}]",1367
12.0,2.0,محمدعلی زرندی,بازیگر و دوبلور (زاده ۱۳۰۴),"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'محمدعلی زرندی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%B2%D8%B1%D9%86%D8%AF%DB%8C'}]",1367
15.0,2.0,حمید میرزا,پسر محمدحسن میرزا و آخرین ولیعهد قاجار (زاده ۱۲۹۷),"[{'text': 'حمید میرزا', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D9%85%DB%8C%D8%AF_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7'}]",1367
8.0,3.0,عباس نعلبندیان,نمایشنامه نویس {خودکشی} (زاده ۱۳۲۶),"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'عباس نعلبندیان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D9%86%D8%B9%D9%84%D8%A8%D9%86%D8%AF%DB%8C%D8%A7%D9%86'}]",1367
4.0,4.0,شهید علی هاشمی,پاسدار و از فرماندهان سپاه پاسداران و از شهدای جنگ ایران و عراق (زاده ۱۳۴۰),[],1367
8.0,4.0,میر احمد ثاراللهی,شاعر (زاده ۱۲۸۴),"[{'text': 'میر احمد ثاراللهی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1_%D8%A7%D8%AD%D9%85%D8%AF_%D8%AB%D8%A7%D8%B1%D8%A7%D9%84%D9%84%D9%87%DB%8C'}]",1367
19.0,4.0,هرایر خالاتیان,روزنامه نگار، مترجم و سیاستمدار ایرانی ارمنی تبار (زاده ۱۳۰۸),"[{'text': 'هرایر خالاتیان', 'url': 'https://fa.wikipedia.org/wiki/%D9%87%D8%B1%D8%A7%DB%8C%D8%B1_%D8%AE%D8%A7%D9%84%D8%A7%D8%AA%DB%8C%D8%A7%D9%86'}]",1367
14.0,5.0,سرتیپ محمدتقی ریاحی,نظامی، از اعضای جبهه ملی ایران و وزیر دفاع در دولت مهدی بازرگان (زاده ۱۲۸۹),"[{'text': 'محمدتقی ریاحی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D8%B1%DB%8C%D8%A7%D8%AD%DB%8C'}]",1367
10.0,6.0,حسن سجادی‌نژاد,پدر حسابداری ایران (زاده ۱۲۹۶),"[{'text': 'حسن سجادی\u200cنژاد', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D8%B3%D8%AC%D8%A7%D8%AF%DB%8C%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1367
27.0,6.0,محمدحسین شهریار,شاعر (زاده ۱۲۸۵),"[{'text': 'محمدحسین شهریار', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%DB%8C%D8%A7%D8%B1_(%D8%B4%D8%A7%D8%B9%D8%B1)'}]",1367
3.0,7.0,احمد شیرازی,کارگردان و مدیر فیلم برداری (زاده ۱۳۰۹),"[{'text': 'احمد شیرازی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C'}]",1367
16.0,7.0,فتح‌الله امید نجف‌آبادی,مجتهد، روحانی و سیاستمدار و افشا کننده ماجرای مک‌فارلین {اعدام} (زاده ۱۳۲۲),"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'فتح\u200cالله امید نجف\u200cآبادی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%AA%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D9%85%DB%8C%D8%AF_%D9%86%D8%AC%D9%81%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF%DB%8C'}]",1367
5.0,8.0,آیت الله سید روح‌الله خاتمی,روحانی، فقیه و امام جمعه شهر یزد و پدر سید محمد خاتمی (زاده ۱۲۸۵),"[{'text': 'سید روح\u200cالله خاتمی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B1%D9%88%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D8%A7%D8%AA%D9%85%DB%8C'}]",1367
4.0,9.0,دکتر کاظم سامی,پزشک و وزیر بهداشت در دولت مهدی بازرگان {ترور} (زاده ۱۳۱۴),"[{'text': 'کاظم سامی', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B8%D9%85_%D8%B3%D8%A7%D9%85%DB%8C'}]",1367
13.0,10.0,عزت‌الله مقبلی,دوبلور و بازیگر (زاده ۱۳۱۲),"[{'text': 'عزت\u200cالله مقبلی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%B2%D8%AA%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D9%85%D9%82%D8%A8%D9%84%DB%8C'}]",1367
22.0,10.0,سیدغلامرضا سعیدی,نویسنده و مترجم (زاده ۱۲۷۴),"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'سیدغلامرضا سعیدی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%BA%D9%84%D8%A7%D9%85%D8%B1%D8%B6%D8%A7_%D8%B3%D8%B9%DB%8C%D8%AF%DB%8C'}]",1367
1.0,11.0,محمدعلی وارسته,از اعضای اصلی در مذاکرات ملی شدن صنعت نفت ایران و وزیر دارایی (زاده ۱۲۷۳),"[{'text': 'محمدعلی وارسته', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D9%88%D8%A7%D8%B1%D8%B3%D8%AA%D9%87'}]",1367
30.0,11.0,فیروز شیروانلو,نویسنده و مترجم (زاده ۱۳۱۷),"[{'text': 'فیروز شیروانلو', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%DB%8C%D8%B1%D9%88%D8%B2_%D8%B4%DB%8C%D8%B1%D9%88%D8%A7%D9%86%D9%84%D9%88'}]",1367
14.0,12.0,پروفسور عباس ریاضی کرمانی,ستاره شناس و ریاضی دان (زاده ۱۲۸۶),"[{'text': 'عباس ریاضی کرمانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D8%B1%DB%8C%D8%A7%D8%B6%DB%8C_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C'}]",1367
6.0,1.0,فاطمه مدرسی,مترجم، نویسنده و از اعضای حزب توده ایران (زادهٔ ۱۳۲۷),"[{'text': 'فاطمه مدرسی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%A7%D8%B7%D9%85%D9%87_%D9%85%D8%AF%D8%B1%D8%B3%DB%8C'}]",1368
9.0,2.0,احسان طبری,نویسنده، شاعر، نظریه‌پرداز مارکسیسم-لنینیسم، عضو حزب توده ایران و فیلسوف (زادهٔ ۱۲۹۵),"[{'text': 'احسان طبری', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D8%B3%D8%A7%D9%86_%D8%B7%D8%A8%D8%B1%DB%8C'}]",1368
10.0,2.0,یوسف کلانتری,شاعر (زادهٔ ۱۲۸۳),"[{'text': 'یوسف کلانتری', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%DA%A9%D9%84%D8%A7%D9%86%D8%AA%D8%B1%DB%8C'}]",1368
15.0,2.0,حیدرعلی قلمداران,نویسنده و مترجم (زادهٔ ۱۲۹۲),"[{'text': 'حیدرعلی قلمداران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%DB%8C%D8%AF%D8%B1%D8%B9%D9%84%DB%8C_%D9%82%D9%84%D9%85%D8%AF%D8%A7%D8%B1%D8%A7%D9%86'}]",1368
26.0,2.0,لیلا کسری,شاعر، ترانه‌سرا و نویسنده با نام هنری «هدیه» (زادهٔ ۱۳۱۸),"[{'text': 'لیلا کسری', 'url': 'https://fa.wikipedia.org/wiki/%D9%84%DB%8C%D9%84%D8%A7_%DA%A9%D8%B3%D8%B1%DB%8C'}]",1368
1.0,3.0,رضا هوشمند,بازیگر و چهره‌پرداز (زادهٔ ۱۳۰۲),"[{'text': 'رضا هوشمند', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%D9%87%D9%88%D8%B4%D9%85%D9%86%D8%AF'}]",1368
13.0,3.0,سید روح‌الله خمینی,مجتهد، از مراجع تقلید شیعه و رهبر انقلاب ۱۳۵۷ ایران و بنیان‌گذار جمهوری اسلامی و اولین رهبر نظام جمهوری اسلامی ایران (زادهٔ ۱۲۸۱),"[{'text': 'سید روح\u200cالله خمینی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B1%D9%88%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D9%85%DB%8C%D9%86%DB%8C'}]",1368
18.0,3.0,حسین لنکرانی,مدرس حوزه علمیه و سیاستمدار (زادهٔ ۱۲۶۸),"[{'text': 'حسین لنکرانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%DB%8C%D9%86_%D9%84%D9%86%DA%A9%D8%B1%D8%A7%D9%86%DB%8C'}]",1368
7.0,4.0,عبدالعلی وزیری خواننده (زادهٔ ۱۲۹۰),,"[{'text': 'عبدالعلی وزیری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D9%84%DB%8C_%D9%88%D8%B2%DB%8C%D8%B1%DB%8C'}]",1368
12.0,4.0,زین‌العابدین رهنما,نویسنده، مترجم و روزنامه‌نگار (زادهٔ ۱۲۷۳),"[{'text': 'زین\u200cالعابدین رهنما', 'url': 'https://fa.wikipedia.org/wiki/%D8%B2%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%B9%D8%A7%D8%A8%D8%AF%DB%8C%D9%86_%D8%B1%D9%87%D9%86%D9%85%D8%A7'}]",1368
22.0,4.0,عبدالرحمان قاسملو,فعال سیاسی چپ‌گرا و دبیرکل حزب دموکرات کردستان ایران و از قربانیان قتل‌های زنجیره‌ای ایران (زادهٔ ۱۳۰۹),"[{'text': 'عبدالرحمان قاسملو', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A7%D9%86_%D9%82%D8%A7%D8%B3%D9%85%D9%84%D9%88'}]",1368
12.0,5.0,محسن بدیع,کارگردان (زادهٔ ۱۲۸۷),"[{'text': 'محسن بدیع', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D8%B3%D9%86_%D8%A8%D8%AF%DB%8C%D8%B9'}]",1368
